N,k,steps,lam,metric,marginal_mean,marginal_sd,marginal_n,edlm_mean,edlm_sd,edlm_n,diff_mean,diff_sd,diff_se,diff_n
10,8,4,1000.0,novel_qed_mean,0.4882389753451034,0.005973463373878722,5,0.47453899192033105,0.004867973554699159,5,0.013699983424772345,0.008542346836351498,0.003820253642692444,5
10,8,4,1000.0,max,0.6516166949330227,0.027779402889217444,5,0.6639246952774019,0.025561502537701314,5,-0.012308000344379223,0.015085128554083272,0.006746274579250661,5
30,1,32,0.0,valid,1475.2,20.96902477465273,5,1455.0,18.748333259252675,5,20.2,25.91717577206282,11.590513362228611,5
30,1,32,0.0,novel,460.8,18.5930094390338,5,448.4,16.97939928266015,5,12.4,31.229793467136474,13.9663882231592,5
30,1,32,0.0,hits@0.6,7.8,1.9235384061671346,5,8.4,3.361547262794322,5,-0.6,3.714835124201342,1.6613247725836149,5
30,1,32,0.0,hits@0.65,1.0,0.7071067811865476,5,0.8,0.8366600265340756,5,0.2,1.0954451150103321,0.48989794855663554,5
30,1,32,0.0,novel_qed_mean,0.4566514655020463,0.004722444380049959,5,0.45770361963595724,0.005372541196451612,5,-0.0010521541339109097,0.007056282195434723,0.003155665331482699,5
30,1,32,0.0,max,0.6575942967834623,0.012689292221124537,5,0.6576464769592711,0.015072626563970393,5,-5.218017580892465e-05,0.017984950550430305,0.008043114400546884,5
30,1,32,20.0,valid,1596.8,23.46699810372004,5,1586.4,11.081516141756055,5,10.4,13.575713609236164,6.071243694664216,5
30,1,32,20.0,novel,482.8,16.26960356001338,5,492.6,11.23832727766904,5,-9.8,13.0843417870369,5.851495535331117,5
30,1,32,20.0,hits@0.6,13.4,4.33589667773576,5,15.2,3.3466401061363023,5,-1.8,7.395944834840239,3.3075670817082456,5
30,1,32,20.0,hits@0.65,1.0,1.0,5,2.4,2.3021728866442674,5,-1.4,2.3021728866442674,1.0295630140987,5
30,1,32,20.0,novel_qed_mean,0.47299322201959515,0.0026382507483499566,5,0.47568902860157625,0.0023882140410654497,5,-0.0026958065819810972,0.0035521288089927607,0.0015885602963486357,5
30,1,32,20.0,max,0.6589218770182673,0.023636817755051318,5,0.6676927255608891,0.016740232249641156,5,-0.008770848542621779,0.03557771523365062,0.01591083794931452,5
30,1,32,200.0,valid,1592.2,16.513630733427462,5,1578.6,13.903237033151669,5,13.6,7.797435475847171,3.4871191548325386,5
30,1,32,200.0,novel,536.4,18.87591057406238,5,537.2,11.144505372604026,5,-0.8,17.340703561274555,7.754998388136519,5
30,1,32,200.0,hits@0.6,30.0,6.557438524302,5,29.4,5.458937625582473,5,0.6,11.058933040759403,4.9457052075512955,5
30,1,32,200.0,hits@0.65,3.2,1.0954451150103321,5,4.4,2.6076809620810595,5,-1.2,2.7748873851023217,1.2409673645990857,5
30,1,32,200.0,novel_qed_mean,0.48857192414495487,0.0027437927262900902,5,0.4913000335155201,0.0034107721536630322,5,-0.0027281093705652125,0.0027989339525797156,0.0012517213165000834,5
30,1,32,200.0,max,0.6823130241228854,0.00935066820646451,5,0.6746628080329544,0.014178719072927292,5,0.007650216089930928,0.019572052392137804,0.008752887921601499,5
30,1,32,1000.0,valid,1589.8,17.398275776639476,5,1578.6,12.177848742696717,5,11.2,9.364827814754525,4.1880783182743855,5
30,1,32,1000.0,novel,547.4,21.05469068877527,5,544.0,11.313708498984761,5,3.4,25.205158202241062,11.272089424769481,5
30,1,32,1000.0,hits@0.6,32.6,6.024948132556827,5,30.6,6.767569726275452,5,2.0,12.30853362509117,5.504543577809153,5
30,1,32,1000.0,hits@0.65,3.0,2.0,5,4.8,2.3874672772626644,5,-1.8,2.949576240750525,1.3190905958272916,5
30,1,32,1000.0,novel_qed_mean,0.49007916961618314,0.0031916727422921782,5,0.49244747577782205,0.003299967650379555,5,-0.0023683061616389446,0.00311616432227009,0.0013935910507310966,5
30,1,32,1000.0,max,0.6821879327690414,0.01554403969189874,5,0.6751830326015081,0.013241408294070953,5,0.007004900167533345,0.021093428224028533,0.009433267877488091,5
30,2,16,0.0,valid,922.4,23.13655116909173,5,924.6,11.970797801316335,5,-2.2,27.489998181156725,12.293900926882403,5
30,2,16,0.0,novel,388.2,8.5848704125339,5,393.2,25.85923432741194,5,-5.0,26.56124997058685,11.878552100319297,5
30,2,16,0.0,hits@0.6,6.0,1.7320508075688772,5,8.6,2.792848008753788,5,-2.6,3.2093613071762426,1.4352700094407322,5
30,2,16,0.0,hits@0.65,1.4,1.140175425099138,5,1.2,0.8366600265340756,5,0.2,1.4832396974191326,0.6633249580710799,5
